file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ConditionalVerificationLogicTest.java,br.ufba.aries.testsmellscases.ConditionalVerificationLogicTest,testCVLT/0,false,19,2,1,0,1,3,6,11,0,3,0,6,0,0,1,0,0,3,3,0,3,0,2,0,0,0,17,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Calculator.java,br.ufba.aries.testsmellscases.suport.Calculator,"calculate/2[int,int]",false,5,0,2,2,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,message/1[int],false,27,0,1,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/MultipleTestConditionsTest.java,br.ufba.aries.testsmellscases.MultipleTestConditionsTest,testMultipleValueSets/0,false,13,4,4,0,4,2,3,9,0,5,0,3,1,1,1,0,0,0,0,13,5,0,1,0,0,0,14,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/App.java,br.ufba.aries.testsmellscases.App,main/1[java.lang.String[]],false,10,0,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/TimeDisplay.java,br.ufba.aries.testsmellscases.suport.TimeDisplay,getCurrentTimeAsHtmlFragment/0,false,5,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/FlexibleTest.java,br.ufba.aries.testsmellscases.FlexibleTest,testDisplayCurrentTime_whenever/0,false,15,3,4,0,4,5,7,19,0,5,0,7,0,0,0,3,0,4,5,4,5,0,1,0,0,0,21,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/DefaultTimeProvider.java,br.ufba.aries.testsmellscases.suport.DefaultTimeProvider,getTime/0,false,7,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/AppTest.java,br.ufba.aries.testsmellscases.AppTest,AppTest/1[java.lang.String],true,19,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/AppTest.java,br.ufba.aries.testsmellscases.AppTest,suite/0,false,27,3,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,true
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/AppTest.java,br.ufba.aries.testsmellscases.AppTest,testApp/0,false,35,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,removeFlight/1[java.lang.Object],false,13,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,removeAirport/1[java.math.BigDecimal],false,18,0,1,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/Facade.java,br.ufba.aries.testsmellscases.suport.Facade,getFlightsByOriginAirport/1[java.math.BigDecimal],false,8,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,"message/2[int,int]",false,30,0,1,1,0,1,1,3,1,0,2,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,3,2,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ProductionLogicTest.java,br.ufba.aries.testsmellscases.ProductionLogicTest,testCombinationsOfInputValues/0,false,12,3,3,0,3,5,3,12,0,5,0,3,1,1,2,2,0,0,0,7,6,1,3,0,0,0,14,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/TestValues.java,br.ufba.aries.testsmellscases.suport.TestValues,"TestValues/3[int,int,int]",true,9,0,1,1,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/main/java/br/ufba/aries/testsmellscases/suport/FlightDto.java,br.ufba.aries.testsmellscases.suport.FlightDto,getFlightNumber/0,false,5,0,2,2,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,createTestAirport/1[java.lang.String],false,48,0,1,1,0,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,"createTestFlight/2[java.math.BigDecimal,java.math.BigDecimal]",false,43,1,1,1,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,false
/Users/andersonnogueira/git/testsmellscases/testsmellscases/src/test/java/br/ufba/aries/testsmellscases/ComplexTeardownTest.java,br.ufba.aries.testsmellscases.ComplexTeardownTest,testGetFlightsByOrigin_NoInboundFlight_SMRTD/0,false,18,4,6,0,6,1,8,24,0,4,0,8,2,1,0,0,3,0,2,1,6,0,3,0,0,0,30,1,0,false
